0,1,2,3,4,5,6,7,8,9,10
,,,,Ask For Details,,,,,,
,,,,Awb Assigned,,,,,,
,,,,Call Disconnected,,,,,,
,,,,RNR Not Reachable,,,,,,
,,,,Callback,,,,,,
,,,,Callback Closure,,,,,,
,,,,Cancellation Request,,,,,,
,,,,COD,,,,,,
,,,,Cash On Delivery,,,,,,
,,,,Delivery Time,,,,,,
,,,,Follow Up For Customer To Respond,,,,,,
,,,,Minimum Quantity To Be Ordered,,,,,,
,,,,New Supply Request Follow Up,,,,,,
,,,,New Supply Request W/O Details,,,,,,
,,,,New Supply Request With Details,,,,,,
,,,,Non Calling Hours,,,,,,
,,,,Open Ticket Follow Up,,,,,,
,,,,Order Cancellation,,,,,,
,,,,Order In Transit,,,,,,
,,,,Order Updates (Delivered),,,,,,
,,,,Other Service Related,,,,,,
,,,,Remove Personal Information,,,,,,
,,,,Requesting For Personal Information,,,,,,
,,,,Requesting For Personal Information + Pack Shot,,,,,,
,,,,Order Tracking,,,,,,
,,,,Unclear Message,,,,,,
,,,,Waiting Period For Cancellation,,,,,,
,,,,How To Place An Order (Stationery),,,,,,
,,,,How To Place An Order (Personalised),,,,,,
,,,,Changes To The Order,,,,,,
,,,,Modify,,,,,,
,,,,How Do I Order?,,,,,,
,,,,Wholesale,,,,,,
,,,,Bulk Order,,,,,,
